Issue Type,Summary,Description,Epic Name,Epic Link,Priority,Labels
"Epic","Patient Onboarding Flow","A six-step, mobile-first, self-service flow taking a new patient or their guardian from account setup through insurance submission and intake forms, per the approved onboarding designs.

Why we're working on this: today's intake process is manual and staff-mediated for information the patient/guardian could provide themselves, and there is no single guided flow that collects account holder identity, patient identity, care intent, insurance, and required forms in one pass.

Why it's important: a disjointed intake experience delays care and increases staff workload re-collecting information; a guided flow also gives us defined trigger points to automate staff handoff (see Care Coordinator Assignment and Revenue Management epics).

Business impact: reduces front-desk/coordinator time spent on manual data entry, shortens time-to-first-appointment, and improves the new-patient experience with a modern self-service flow.","Patient Onboarding Flow","","Highest","onboarding"
"Story","Step 1 - Who is this account for","As a new user starting onboarding, I want to declare whether I'm seeking care for myself or acting as a guardian/caregiver for someone else, so that the rest of the flow can be framed correctly for my situation.

Why we're working on this: the guardian/self distinction changes what Step 2 and Step 3 need to collect (a second, distinct patient identity vs. one combined identity).

Why it's important: getting this wrong forces a guardian to awkwardly self-describe as the patient, or an adult patient to go through unnecessary guardian-specific fields.

Business impact: reduces confusion and abandonment at the very first step of onboarding, where drop-off is costliest.

Acceptance criteria:
- Two choices are presented: self, or guardian/caregiver
- Selection persists and correctly conditions Steps 2-3 copy and fields","","Patient Onboarding Flow","High","onboarding"
"Story","Step 2 - Your information (account holder)","As the responsible adult on the account, I want to provide my name, relationship to the patient, and mobile number, so that the account has a verified point of contact for consent and appointment communication.

Why we're working on this: every account needs a responsible adult of record for consent and communication purposes, whether that's the patient themselves or a guardian.

Why it's important: mobile number captured here is the channel used for appointment reminders and secure-message alerts going forward - getting it right at step 2 avoids downstream communication failures.

Business impact: this step is also the trigger for Care Coordinator assignment (see the Care Coordinator Assignment Automation epic) - completing it promptly gets a coordinator engaged as early as possible in the patient's journey.

Acceptance criteria:
- Captures first name, last name (required), relationship to patient (when guardian), and mobile number
- Submitting this step fires the Care Coordinator assignment/notification/task trigger
- A note informs the user that signed consent/POA can be uploaded later under Records/Documents, so this step is not blocked on that upload","","Patient Onboarding Flow","Highest","onboarding"
"Story","Step 3 - About the patient","As the account holder, I want to enter the patient's legal identity exactly as it appears on a government-issued ID, so that the clinical record matches legal identity for billing and compliance purposes.

Why we're working on this: clinical and billing records require legally accurate patient identity (legal name, DOB) distinct from a preferred name or the account holder's own identity.

Why it's important: a mismatch between legal identity and what's on file causes claim and record-matching problems later.

Business impact: reduces downstream billing/claims friction caused by inaccurate legal-identity capture at intake.

Acceptance criteria:
- Captures first/last name (required), preferred name (optional), DOB (required), sex at birth, and pronouns (optional)
- When Step 1 was 'myself', this step is pre-filled/confirmed from Step 2 rather than re-asking from scratch","","Patient Onboarding Flow","High","onboarding"
"Story","Step 4 - What brings you here (care intent)","As a patient/guardian, I want to optionally select the type(s) of care I'm interested in and a preferred location, so that my care team has context before the first visit without me being forced to decide upfront.

Why we're working on this: knowing the type of care sought and location preference helps Care Coordinators match the patient to the right provider/location when booking.

Why it's important: this is explicitly a soft-ask - forcing it as required risks drop-off from patients who aren't sure yet what they need.

Business impact: improves provider/location matching quality for the eventual booking without adding friction to the onboarding funnel.

Acceptance criteria:
- Multiple care-type pills are multi-selectable; a location can be chosen from Telehealth or a specific clinic
- This step can be skipped entirely and edited later without blocking progress to Step 5","","Patient Onboarding Flow","Medium","onboarding"
"Story","Step 5 - Insurance selection and card capture","As a patient/guardian, I want to select my insurance payer and submit my insurance card details, so that coverage can be verified before my first visit.

Why we're working on this: insurance information needs to reach Revenue Management as early as possible so eligibility verification isn't the bottleneck right before a visit.

Why it's important: this step is the trigger for the entire eligibility-verification workflow (see the Revenue Management epic) - the sooner it's submitted, the more lead time RCM has to verify coverage before a visit is booked.

Business impact: earlier insurance submission shortens the time between account creation and a coverage-confirmed, bookable patient, directly reducing claim-denial risk from booking before eligibility is known.

Acceptance criteria:
- Payer is selectable via search from a payer list
- Card front/back upload, cardholder relationship, cardholder name/DOB, and member ID are captured
- Submitting this step creates a Revenue Management worklist item in Pending status carrying the captured insurance data","","Patient Onboarding Flow","Highest","onboarding,billing"
"Story","Step 6 - Required and optional intake forms","As a patient/guardian, I want to complete the required Patient Health Information form (and optionally other forms) to finish onboarding, so that the provider has what they need ahead of the first visit.

Why we're working on this: certain intake information (services of interest, primary care provider, pharmacy) needs to be collected before the first visit regardless of insurance/booking status.

Why it's important: only one form is mandatory - the rest (Modified Mini Screen, HIPAA Consent, Current Medical List, Mental Health History, Co-pay Agreement) are explicitly optional and resumable, so onboarding completion isn't gated on all of them.

Business impact: keeps the onboarding funnel from stalling on paperwork while still guaranteeing the minimum clinical information needed exists before the first visit.

Acceptance criteria:
- Only the Patient Health Information form is required to consider onboarding 'complete'
- Optional forms can be saved and resumed after onboarding completion
- Completing the required form ends the onboarding flow with a confirmation state","","Patient Onboarding Flow","High","onboarding"
"Epic","Care Coordinator Assignment Automation","Automatically assigns and notifies a Care Coordinator as soon as an onboarding account holder is identified (end of Step 2), and later prompts that same coordinator to book the first appointment once insurance eligibility is resolved.

Why we're working on this: today, nothing automatically tells a Care Coordinator that a new patient has started onboarding, and nothing tells them when it's actually appropriate to book (i.e. once coverage is confirmed) - both handoffs are currently manual or missing.

Why it's important: the existing Care Coordinator portal already has Tasks and Submissions surfaces intended for exactly this kind of work queue; this epic is what actually populates them for the onboarding use case.

Business impact: reduces the time between a patient starting onboarding and a staff member actively working their case, and eliminates the risk of booking a visit before coverage is confirmed.","Care Coordinator Assignment Automation","","Highest","onboarding,care-coordinator"
"Story","Auto-assign and notify Care Coordinator on account-holder capture","As the platform, when a Step 2 (account holder) submission completes, I want to assign a Care Coordinator (round robin or team default), notify them, and create a task in their queue, so that a coordinator is engaged with the case as early as possible.

Why we're working on this: account-holder contact info alone is enough for a coordinator to begin useful work (confirming location fit, following up on a guardian relationship) well before insurance or forms are finished.

Why it's important: waiting for full onboarding completion before notifying staff delays awareness of a new patient unnecessarily.

Business impact: shortens the time-to-first-contact between staff and a new patient in progress, improving conversion and patient experience.

Acceptance criteria:
- A Care Coordinator is assigned within the same request/transaction as Step 2 submission
- The assigned coordinator receives a notification and a task titled to identify the patient and the 'new onboarding' context
- Assignment logic (round robin vs. team default) is configurable","","Care Coordinator Assignment Automation","Highest","onboarding,care-coordinator"
"Story","Build the Care Coordinator Tasks queue","As a Care Coordinator, I want a Tasks view listing everything assigned to me - including onboarding-triggered tasks - with the ability to see task type, linked patient, and status, so that I have one place to work my queue instead of relying on notifications alone.

Why we're working on this: the Care Coordinator navigation already has a Tasks entry point with no real implementation behind it; this is the first real use case that needs it.

Why it's important: without a persistent queue view, a coordinator has no way to track outstanding onboarding-related work beyond the initial notification.

Business impact: gives coordinators a reliable, auditable worklist rather than relying on transient notifications, reducing dropped follow-ups.

Acceptance criteria:
- Lists tasks with type, linked patient/submission, assignee, status, and created-at
- Supports marking a task complete
- Distinguishes 'new onboarding - prep' tasks from 'eligibility resolved - book appointment' tasks (see the Insurance Eligibility State Machine epic)","","Care Coordinator Assignment Automation","High","onboarding,care-coordinator"
