Issue Type,Summary,Description,Epic Name,Epic Link,Priority,Labels
"Epic","Global Masters Platform Foundation","Cross-cutting governance layer underpinning every individual Global Master in PractMD: multi-tenant scope enforcement across Ops / Hub / Clinic levels, permission-aware editing, audit logging of master-data changes, and data-integrity safeguards.

Why we're working on this: Global Masters are the single source of truth referenced by scheduling, billing, patient records, and staff workflows across every clinic and hub on the platform. As the number of masters and tenants grows, we need one consistent governance pattern instead of re-solving scope, permissions, and auditability separately for each master screen.

Why it's important: Without a shared foundation, masters risk inconsistent access control (who may edit a Hub-level vs. Clinic-level value), untracked changes to business-critical configuration, and data-integrity breaks when an in-use master value is edited or deactivated.

Business impact: Reduces compliance and audit exposure for a platform handling regulated healthcare data, prevents configuration drift across the Hub/Clinic structure, and lowers engineering cost by giving every future master a ready-made scope, permission, and audit pattern instead of bespoke work each time.","Global Masters Platform Foundation","","Highest","global-masters,platform"
"Task","Define multi-tenant scope model for Global Masters (Ops / Hub / Clinic / Global)","Establish and document which scope levels apply to each Global Master, extending the App (clinic/hub/ops) and Scope (organization/hub/clinic/global) model already used by Administration Role to the rest of the masters.

Why we're working on this: not every master should be editable or visible at every tenant level - some (e.g. Time Zone) are naturally platform-global, while others (e.g. Provider Color Code) are clinic-specific, and Roles already demonstrate a hub/clinic/ops split that the rest of the masters don't yet follow consistently.

Why it's important: without an explicit scope model, a master risks being edited at the wrong level - e.g. a single clinic changing a value that silently affects every clinic in its Hub.

Business impact: prevents cross-tenant configuration errors that could affect scheduling or billing accuracy across multiple clinics, and clarifies ownership between Operator, Hub, and Clinic administrators.","","Global Masters Platform Foundation","High","global-masters,platform,rbac"
"Task","Implement audit logging for master data changes","Every create, update, deactivate, and delete action on any Global Master should be recorded with who changed it, when, and the before/after values, surfaced through the existing Audit Log module already present in the PractMD admin console.

Why we're working on this: Global Masters directly drive clinical, scheduling, and billing behavior; unexplained changes to them are difficult to investigate without a change history.

Why it's important: healthcare software is subject to compliance scrutiny, and the platform already has an Audit Log surface in the main navigation - master-data changes should feed into it consistently rather than remaining a gap.

Business impact: reduces investigation time when something breaks after a configuration change, supports audit/compliance readiness, and builds customer trust that administrative changes are traceable.","","Global Masters Platform Foundation","High","global-masters,platform,audit"
"Task","Master data integrity guardrails (duplicate prevention and safe deactivation)","Add validation to prevent duplicate or near-duplicate master entries, and prevent deleting a master value that is actively referenced elsewhere (e.g. a Provider Type already assigned to providers), replacing hard delete with a safe deactivate-and-warn flow where appropriate.

Why we're working on this: master lists are edited by many different clinic/hub admins over time and are prone to drift, accidental duplication, and unsafe deletion.

Why it's important: a deleted or duplicated master value that is already referenced by a provider, patient, or claim can silently break scheduling, reporting, or billing for records created before the change.

Business impact: protects data quality platform-wide, avoids silent breakage of downstream records, and reduces support escalations caused by inconsistent master data.","","Global Masters Platform Foundation","High","global-masters,platform,data-quality"
"Task","RBAC enforcement for Global Masters administration","Ensure editing rights on each Global Master are gated by the requesting user's Role permissions (App + Scope + Permissions, as already modeled on the Administration Role screen), rather than being open to anyone who can reach the Global Masters section.

Why we're working on this: the platform already models fine-grained App/Scope/Permission-based roles (Clinic Admin, Hub Admin, Hub Super Admin, Ops roles, etc); Global Masters editing needs to respect those same boundaries consistently across every master screen.

Why it's important: some masters should likely be editable only at Hub or Ops level while others are Clinic-editable - without enforcement, a lower-privilege role could alter organization-wide configuration.

Business impact: reduces risk of unauthorized or accidental changes to shared configuration and supports proper separation of duties between Operator, Hub, and Clinic staff.","","Global Masters Platform Foundation","Highest","global-masters,platform,rbac"
"Epic","Specialization Master","Define medical specializations and taxonomical codes used to describe each provider's clinical focus areas.

Why we're working on this: specializations are referenced on every provider profile across Hub and Clinic tenants and support future provider search/matching for patients.

Why it's important: a standardized, coded specialization list keeps provider profiles, scheduling, and reporting consistent across every clinic in a Hub, instead of each clinic inventing its own labels.

Business impact: improves patient-to-provider matching accuracy, supports clean cross-clinic reporting on clinical mix, and avoids fragmented specialization data as the platform adds tenants.","Specialization Master","","Medium","global-masters,clinical"
"Story","Manage medical specializations","As a Hub or Ops administrator, I want to create, edit, activate/deactivate, and code medical specializations, so that provider profiles and clinical reporting use one governed specialization list across all clinics in the tenant.

Why we're working on this: providers need a consistent, searchable way to declare their clinical focus, and reporting needs the same list to roll up cleanly across clinics.

Why it's important: inconsistent specialization naming between clinics makes it impossible to compare or aggregate clinical-mix data at the Hub level.

Business impact: enables accurate provider-specialty reporting and reliable provider-matching for patients booking care.

Acceptance criteria:
- Specializations support a name and a taxonomical code
- Records can be activated/deactivated without deleting history
- Duplicate names/codes are prevented","","Specialization Master","Medium","global-masters,clinical"
"Epic","Role Masters","Define user roles and access levels within the system, spanning Administration Roles and Staff Roles, each scoped to an App (Clinic / Hub / Ops) and a Scope (Organization / Hub / Clinic / Global) with a granular permission set.

Why we're working on this: PractMD is a multi-tenant platform (Operator, Hub, Clinic) and already ships seeded roles such as Clinic Admin, Hub Admin, Hub Super Admin, and several Ops roles (CRM Manager, CRM Staff, Front Office, Provider, RCM, Supervisor) - this is the control point for who can do what, at which level of the organization.

Why it's important: roles are the single mechanism enforcing least-privilege access across every other module in the platform, including every other Global Master.

Business impact: correct, well-governed roles are foundational to data security, regulatory compliance, and safe delegation of administrative work across Operator/Hub/Clinic staff.","Role Masters","","Highest","global-masters,rbac"
"Story","Manage Administration Roles","As an Ops/Hub administrator, I want to create and edit Administration Roles - each with a Name, Description, Is Active flag, App scope (clinic/hub/ops), organizational Scope (organization/hub/clinic/global), and a per-app permission set - so that elevated administrative access is granted precisely and auditable.

Why we're working on this: administrative roles (Clinic Admin, Hub Admin, Hub Super Admin, and the Ops-tier roles) already exist in production and need to remain fully manageable, including permission edits, as the platform's modules grow.

Why it's important: administrative roles carry elevated permissions; incorrect scoping (e.g. a Clinic-level admin able to act at Hub scope) is a direct security and compliance risk.

Business impact: protects the platform's most sensitive access tier, and lets the business onboard new administrative role types (e.g. a new Ops function) without engineering work.

Acceptance criteria:
- Role edits capture Name, Description, Is Active, App, Scope, and Permissions
- Permission changes are captured by the audit logging task
- Only sufficiently privileged users can edit Administration Roles","","Role Masters","Highest","global-masters,rbac"
"Story","Manage Staff Roles","As a Clinic/Hub administrator, I want to create and edit Staff Roles with their own permission set, separate from Administration Roles, so that front-line staff (front desk, clinical support, etc) get exactly the access their job requires and nothing more.

Why we're working on this: staff roles are lower-privilege and higher-volume than administrative roles, and are typically managed by different people at a different cadence, so they need to stay independently editable.

Why it's important: over-permissioned staff accounts are a common source of accidental data exposure or modification in healthcare settings.

Business impact: enables least-privilege staffing at scale across many clinics without creating a new Administration Role for every operational job function.

Acceptance criteria:
- Staff Role edits capture the same field set as Administration Roles
- Staff Roles are clearly distinguished from Administration Roles in listings and permission checks","","Role Masters","High","global-masters,rbac"
